count,ALMA # (Unique ID),Title (English Short),Repository Link,Link to Catalog,Material Type,Author,Year
330,17236-1001,Book on Calculation,,http://libraries.ou.edu/eresources/catalog?task=search&term=99115489902042,Book,Pietro Borgi,1517
331,3503688-2001,"Description and Use of an Instrument, Called the Double Scale of Proportion",https://repository.ou.edu/embed/uuid/3d5ab3fa-b150-59e8-8d57-023ce34121f2,http://libraries.ou.edu/eresources/catalog?task=search&term=9974334202042,Book,Seth Partridge,1692
332,19458-1001,Correspondence,,http://libraries.ou.edu/eresources/catalog?task=search&term=99345778702042,Book,Andreas Vesalius,1546
333,17511-1001,Commentary on the Canon of Ibn Sina (Avicenna),https://repository.ou.edu/embed/uuid/4e3185ad-e596-54e8-a458-8332bda3f2f8,http://libraries.ou.edu/eresources/catalog?task=search&term=9923017702042,Book,Santorio Santorio,1646
334,11846-1001,"Anatomy, 1541",https://repository.ou.edu/embed/uuid/641d3938-5ac5-5fd5-a1aa-748e6e919368,http://libraries.ou.edu/eresources/catalog?task=search&term=99159845102042,Book,Mondino dei Luzzi,1541
335,2451959-1001,"A Voyage to the Islands Madera, Barbados, Nieves, S. Christophers and Jamaica, vol. 1",,http://libraries.ou.edu/eresources/catalog?task=search&term=9970731002042,Book,Hans Sloane,1707-1725
336,2451959-2001,"A Voyage to the Islands Madera, Barbados, Nieves, S. Christophers and Jamaica, vol. 2",,http://libraries.ou.edu/eresources/catalog?task=search&term=9970731002042,Book,Hans Sloane,1707-1725
337,18840-1001,Natural History,https://repository.ou.edu/embed/uuid/aee7bc9f-e3ad-574b-a6cc-e02ad6a13370,http://libraries.ou.edu/eresources/catalog?task=search&term=99200443402042,Book,Juan Eusebio Nieremberg,1635
338,18496-1001,Non-European Plants,,http://libraries.ou.edu/eresources/catalog?task=search&term=99105354802042,Book,Carolus Clusius,1605
339,597695-1001,On Natural History,,http://libraries.ou.edu/eresources/catalog?task=search&term=99119881802042,Book,Ferrante Imperato,1599
340,1902392-1001,Representations of Plants,,http://libraries.ou.edu/eresources/catalog?task=search&term=99272517302042,Book,Abraham Munting,1702
341,597440-1001,The Botanic Garden,,http://libraries.ou.edu/eresources/catalog?task=search&term=9922010002042,Book,Erasmus Darwin,1790
342,2029850-1001,Anatomical Illustrations,,http://libraries.ou.edu/eresources/catalog?task=search&term=99153324602042,Book,Bartolomeo Eustachi,1716
343,18709-1001,Anatomical Observations,https://repository.ou.edu/embed/uuid/2abb69cb-2932-57db-9809-a4387da609bb,http://libraries.ou.edu/eresources/catalog?task=search&term=99359354602042,Book,Nicolaus Steno,1662
344,19028-1001,"Anatomy, 1507",,http://libraries.ou.edu/eresources/catalog?task=search&term=99361498202042,Book,Mondino dei Luzzi,1507
345,568900-1001,"Elements of Geometry, 1570",https://repository.ou.edu/embed/uuid/39232cf3-61a7-5fd6-a34d-a74a8636f080,http://libraries.ou.edu/eresources/catalog?task=search&term=99191512502042,Book,Euclid,1570
346,1033783-1001,Notes,https://repository.ou.edu/embed/uuid/6235e086-c11a-56f6-b50d-1b1f5aaa3f5e,http://libraries.ou.edu/eresources/catalog?task=search&term=99344684102042,Book,Ada Lovelace,1843
347,597503-1001,"The Assayer, early state",https://repository.ou.edu/embed/uuid/e2cd1775-fe63-5e05-bb49-e5be109e8760,http://libraries.ou.edu/eresources/catalog?task=search&term=99189156302042,Book,Galileo,1623
348,11984-1001,"The Assayer, later state",,http://libraries.ou.edu/eresources/catalog?task=search&term=9924440102042,Book,Galileo,1623
349,18243-1001,The Astronomical Balance,https://repository.ou.edu/embed/uuid/6add0b46-1a19-5126-8883-0ce24cd4ee9c,http://libraries.ou.edu/eresources/catalog?task=search&term=99213813502042,Book,Oratio Grassi,1619
350,1900389-1001,The Shield-Bearer for Tycho Brahe,https://repository.ou.edu/embed/uuid/d5f5477d-4256-55fa-8f6e-624f17695b26,http://libraries.ou.edu/eresources/catalog?task=search&term=9945603602042,Book,Johann Kepler,1625
351,4245116-1001,Treatise on the Sphere,https://repository.ou.edu/embed/uuid/88ab1a8a-e45c-5bab-a6ac-4f1148a960dc,http://libraries.ou.edu/eresources/catalog?task=search&term=99120338702042,Manuscript,Oratio Grassi,1623
352,ALMA10005307,Dialogue on Ancient and Modern Music,https://repository.ou.edu/embed/uuid/962a8ea9-e7af-54e1-9879-5c34b9c50b1d,http://libraries.ou.edu/eresources/catalog?task=search&term=99552997302042,Book,Vincenzo Galilei,1581
353,599014-1001,Harmony of the Universe,https://repository.ou.edu/embed/uuid/08538a3a-81d3-557d-97b0-ff385061caf7,http://libraries.ou.edu/eresources/catalog?task=search&term=99284044202042,Book,Johann Kepler,1619
354,3113625-1001,Moral Essays,,http://libraries.ou.edu/eresources/catalog?task=search&term=9993050002042,Book,Leon Battista Alberti,1568
355,19238-1001,Perspective,https://repository.ou.edu/embed/uuid/914774c3-bf64-511a-a597-032bfb921e4c,http://libraries.ou.edu/eresources/catalog?task=search&term=9985465702042,Book,John Peckham,1556
356,17643-1001,Principles of Geometry,https://repository.ou.edu/embed/uuid/711296ae-77d9-5470-abd0-250361567af5,http://libraries.ou.edu/eresources/catalog?task=search&term=99121318802042,Book,Albrecht DÃ_rer,1535
357,4244999-1001,On the Three Comets of 1618,,http://libraries.ou.edu/eresources/catalog?task=search&term=99316020502042,Book,Oratio Grassi,1619
358,8079-1001,On the Comets of the years 1607 & 1618,,http://libraries.ou.edu/eresources/catalog?task=search&term=99298630402042,Book,Johann Kepler,1619
359,14440-1001,Discourse on the Comets,,http://libraries.ou.edu/eresources/catalog?task=search&term=99219247102042,Book,Galileo Mario Guiducci,1619
360,601244-1001,On Mathematics,,http://libraries.ou.edu/eresources/catalog?task=search&term=99242014002042,Book,Gaspar Schott,1668
361,18810-1001,Star Viewer,,http://libraries.ou.edu/eresources/catalog?task=search&term=9928877402042,Book,William Schickard,1698
362,16965-1001,"Cosmography, 1545",,http://libraries.ou.edu/eresources/catalog?task=search&term=9978366402042,Book,Peter Apian,1545
363,1987292-1001,On the Dream of Scipio,,http://libraries.ou.edu/eresources/catalog?task=search&term=99179558202042,Book,Macrobius,1521
364,603006-1001,The Nuremberg Chronicle,,http://libraries.ou.edu/eresources/catalog?task=search&term=99334147102042,Book,Hartmann Schedel,1493
365,4244202-1001,Illustration and Description of the Incomparably Great Comet,,http://libraries.ou.edu/eresources/catalog?task=search&term=9999386002042,Art,,1680
366,2450330-1001,On Comets,https://repository.ou.edu/embed/uuid/13f2277b-1fbd-5367-87fd-3a728cb44009,http://libraries.ou.edu/eresources/catalog?task=search&term=99248611802042,Book,Johann Hevelius,1668
367,18317-1001,The Climactic Year,,http://libraries.ou.edu/eresources/catalog?task=search&term=9925313202042,Book,Johann Hevelius,1685
368,4175223-1001,A Comparison of the Weights for The Astronomical Balance and the Small Scale,,http://libraries.ou.edu/eresources/catalog?task=search&term=9993268002042,Book,Oratio Grassi,1627
369,4131961-1001,A Probing of the Astronomical Balance,https://repository.ou.edu/embed/uuid/1d7b4001-90c4-5f43-ac1e-4df948480591,http://libraries.ou.edu/eresources/catalog?task=search&term=9932446402042,Book,Giovanni Battista Stelluti,1622
370,1965555-1001,"A New Natural History of the Plants, Animals and Minerals of Mexico",https://repository.ou.edu/embed/uuid/5507f157-69a8-5f81-88ff-beb716f28e30,http://libraries.ou.edu/eresources/catalog?task=search&term=99144902602042,Book,Francisco Hernandez,1651
