Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
DL,4/17/2015,7/23/2015,7/31/2015,8/11/2015,8/16/2015,,hdx1,,99181125302042,Bagit2,Kircher_1650,1290,310,2 Feature,,4/27/2015,,,,YES,,"Kircher, Athanasius",1650,Musurgia universalis,Rome,,,,"HASSELBLAD. 1,250 pages. 34 cm.",WS1,1260,252,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,1,B1,,http://hos.ou.edu/galleries/17thCentury/Kircher/1650/
,,,,,,,,,9997350702042,,Kircher_1660,,,2 Feature,,6/10/2015,,,,YES,7/15/2015,"Kircher, Athanasius",1660,Iter exstaticum coeleste,Würzburg [Herbipoli],,,,"CANON. [22], 689, [18] p., 12 leaves of plates : |b ill., coat of arms ; |c 22 cm.",,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',,,
DL,,done,7/31/2015,7/31/2015,done,,hd8,8/14/2015,99244732602042,Bagit2,Kircher_1665,1028,273,2 Feature,,7/1/2015,,,,YES,,"Kircher, Athanasius",1665,"Mundus subterraneus [Copy 2 - brown cover, additional plates before/after first tp]",Amsterdam,,,,"41 cm, 900+ pages",WS1,,273,,National Weather Center,,,8/31/2016,1,,Also HOSC/Music,
DL,,done,done,8/11/2015,8/14/2015,,hd9,8/24/2015,99295246602042,Bagit2,Kircher_1667,339,95,2 Feature,,6/8/2015,,,,YES,7/15/2015,"Kircher, Athanasius",1667,China Monumentis,Amsterdam [Rome?],,"Latin, Sanskrit, Chinese",,,WS1,,94.9,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,,
DL,,done,8/6/2015,8/11/2015,8/17/2015,,hdx1,,99226124902042,Bagit2,Kircher_1670,463,39,3 Yes,,6/8/2015,,,,YES,7/15/2015,"Kircher, Athanasius",1670,"Chine, Illustré de Plusieurs Monuments",Amsterdam,,French,,"38 cm, 430 pages",TempWS,,43,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,,
,,,,,,,,,Cataloging needs PDF,,,,,3 Yes,,6/30/2015,,,,,,"Lacaille, Nicolas",1756,"""Planisphere contenant les Constellations Celestes"", in: Memoires Academie Royale des Sciences pour 1752",Paris,,,,CANON. ,,,,,,,,,2a,B3,,
,,,,,,,,,99300791402042,,Lansbergen_1635,,,2 Feature,,5/11/2015,,,,YES,7/23/2015,"Lansbergen, Philips van",1635,In astrolabium introductorio,Middelburg Zealand,,,,HASSELBLAD. in Astronomi celeberrimi opera (1635-1636),,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B1,,
DL,,,,7/14/2015,done,,hd4,7/29/2015,99300791402042,Bagit2,Lansbergen_1635,93,21,3 Yes,,5/4/2015,,,,YES,,"Lansbergen, Philips van",1635,In quadrantem,Middelburg Zealand,,,,HASSELBLAD. 7420 px H.,WS1,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B1,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Leclerc, Georges Louis",1749-1804,Histoire naturelle,Paris,,,,"Digitize vol. 9 only. 44 vols. First edition, original binding, complete in 45 vols. Lynx illustration in vol. 9.",,,,,,,,,2c,,,
DL,8/7/2015,8/26/2015,,,,,,,99222403702042,WS|HoS,Leeuwenhoek_1695,,,3 Yes,,6/26/2015,,,,YES,,"Leeuwenhoek, Antoni van",1695,Arcana naturae detecta,Delft,,,,CANON. 590 images. 20 cm.,,,,,Sam Noble Museum,Galileo and Microscopy,2/6/2016,6/1/2016,2',,,
DL,,7/14/2015,,,done,,hd6,8/6/2015,9942669402042,Bagit2,Liceti_1640,312,25,2 Feature,,6/22/2015,,,,NO,,"Liceti, Fortunio",1640,"Litheosphorus, sive, De lapide Bononiensi lucem",[Utini],,,,Canon. 4118 px H.,WS1,,,,,,8/1/2015,12/18/2015,2d',B2,,
DL,,,,,done,,rsync0?,6/30/2015,99210868902042,UL-Bagit [file archive],Littrow_1839,,,3 Yes,,5/14/2015,,,,YES,,"Littrow, Joseph J. von",1839,Atlas des gestirnten Himmels,Stuttgart,,,,"2 p. l., xxxvi p., 18 double pl. 24 x 20 cm. ",,,,"We own Littrow's Atlas, 1839. It consists of 18 double plates (20 x 24 cm.–an octavo). Located in the stacks.–J",Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,http://www.lindahall.org/events_exhib/exhibit/exhibits/stars/lit.htm
DL,7/9/2015,7/16/2015,7/24/2015,8/11/2015,7/31/2015,,hd7,8/19/2015,99333549402042,Bagit2,Lorini_1597,252,60,1 Highlight,,6/12/2015,,,,YES,7/18/2015,"Lorini, Buonaiuto",1597,Delle fortificationi,Venice,,,,"HASSELBLAD. 6 p.l., 219, [1] p. illus., port. 36 cm.",WS1,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/29/2015,99563102102042,Bagit2,Lovelace_1843,73,5,2 Feature,,5/11/2015,,,,YES,7/15/2015,"Lovelace, Ada",1843,"“Sketch of the Analytical Engine Invented by Charles Babbage by L.F. Menabrea... with Notes,” in Scientific Memoirs, vol. 3, pp. 666-731.",London,,,,CANON. ,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',B2,,
DL,,done,,,,,,,993156602042,WS|HoS|Ready to export,Lowell_1906,468,112,N,SUBTRACT,6/30/2015,,,,YES,,"Lowell, Percival",1906,Mars and its canals,New York,,,,"CANON. xv, 393 p. illus., plates (part col.) maps (1 double) 23 cm. ",WS1,420,84,"There is an early book by Lowell: Mars (London, 1896).  x, 228 p. xxvipl. (1 double) incl. col. front., diagrs. 23 cm. ",Bizzell Library,Galileo Today,,8/31/2016,2',,,
In progress,8/20/2015,,,,,,,,99168176702042,WS|HoS,Lubieniecki_166x,,,3 Yes,,5/15/2015,,,,YES,,"Lubieniecki, Stanislaw",1666-1668,Theatrum cometicum,Amsterdam,,,,HASSELBLAD. [images?] 34 cm. 3 v. in 2 books,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,B3,,
HOS,,-,,,,,,,99361498202042,WS2|Prep and export,Luzzi_1507,,,3 Yes,,5/27/2015,,,,YES,,"Luzzi, Mondino dei",1507,Anothomia,Venice,,,,,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,,7/31/2015,done,,hd8,8/14/2015,99159845102042,Bagit2,Luzzi_1541,163,39,3 Yes,,5/12/2015,,,,YES,,"Luzzi, Mondino dei [Johann Dryander]",1541,Anatomia,[Marpvrgi],,,,CANON. ,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B2,,
DL,8/24/2015,8/24/2015,8/25/2015,,,,,,99299397302042,WS2|Ready for script,Mashar_1489,,,2 Feature,,5/14/2015,,,,YES,,"Ma'shar, Abu",1489,Introductorium in astronomiam,Augsburg,,,,"CANON. 150 images, 22 cm. FEBRUARY 1489. DO NOT CONFUSE with Abu Ma'shar's De magnis coniunctionibus (1489), Introductorium in astronomiam (1489), or Flores astrologiae (1488). -KM",,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
,,,,,,,,,99179558202042,,Macrobius_1521,,,3 Yes,,6/9/2015,,,,YES,7/23/2015,"Macrobius, Ambrosius Aurelius Theodosius",1521,Macrobii Avrelii Theodosii viri consvlaris In somnivm scipionis libri dvo [Scipio's Dream],Cologne,,,,HASSELBLAD. 160 images. 30 cm. ,,165,33,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
,,,,,,,,,9984232402042,,Manzini_1660,,,2 Feature,,6/12/2015,,,,YES,7/15/2015,"Manzini, Carlo Antonio",1660,"L'Occhiale all'occhio, dioptrica practica",Bologna,,,,,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/29/2015,99126814102042,Bagit2,Martin_176x,241,19,2 Feature,,4/27/2015,,,,YES,,"Martin, Benjamin",[176x],"Description and use of both the globes, the armillary sphere, and orrery",London,,,,"CANON. [2], vii, [1], 201, [3], 5, [3] p., v leaves of plates: ill.; 21 cm.",,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B1,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Maurolico, Francesco",1613,"Theoremata de Lumine et Umbra, ad perspectivam",Lyons,,,,,,,,,,,,,2b,,,
,,,,,,,,,9977300302042,,,,,3 Yes,ADD,6/10/2015,,,,YES,7/15/2015,"Mayr, Simon",1614,Mundus Iovialis,Nuremberg,,,,,,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,,,,
DL,,done,8/6/2015,8/11/2015,8/17/2015,,hdx1,,99296770102042,Bagit2,Mercuriale_1577,448,108,3 Yes,,6/26/2015,,,,YES,,"Mercuriale, Girolamo",1577,De arte gymnastica,Paris,,,,"CANON. 22 cm. About 440 pages. 1601. HOS 10 images of 1577. [1], [4], 201 [i.e. 200], [14] leaves [i.e. 436 p.] : ill. ; 22 cm. ",TempWS,450,90,,Headington Hall,,10/15/2015,4/15/2016,1,,,
In progress,8/21/2015,,,,,,,,9982568002042,WS|HoS,Merian_1717,,,2 Feature,ADD,,,,,NO,,"Merian, Maria Sybilla",1717,"Erucarum Ortus, Alimentum et Paradoxa Metamorphosis in qua Origo Pabulum...",Amsterdam,,,,CANON. 21 cm? Not fully cataloged. ,,,,[HOS?],,,,,2c,B2,,
,,,,,,,,,99361870802042,,Mersenne_1623,,,2 Feature,,6/24/2015,,,,YES?,7/15/2015,"Mersenne, Marin",1623,Quaestiones Celeberrimae in Genesim,Paris,,,,"HASSELBLAD.  [24] p., 1828 columns, [2] p., 1829-1916 [i.e. 1956] columns, [36] p. : |b ill., music ; |c 35 cm.",,,,[?],History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99172319202042,,Mersenne_1635,,,2 Feature,,6/18/2015,,,,YES,7/15/2015,"Mersenne, Marin",1635,Qvestions physico-mathematiqves : et Les mechaniqves du sieur Galilée,Paris,,,,"CANON. 3 v. in 1 ([16], 240, [20], 88, [16], 224 p.) : |b ill. ; |c 19 cm. Page 71 misnumbered 7 (4th group).",,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,Cataloging needs PDF,,,,,3 Yes,ADD,6/30/2015,,,,,,"Messier, Charles",1774,"""Catalogue des Nébuleuses et des Amas d’Étoiles,"" in Memoirs of the Royal Academy of Sciences for 1771, pages 435ff",Paris,,,,,,,,,,,,,,,,
DL,,,8/24/2015,,,,,,9955150302042,WS2|Ready for script,Metius_1624,325,78,3 Yes,,,,,,NO,,"Metius, Adriaan",1624,De genuine uso utriusque globi tractatus,Amsterdam,,Latin,"Astronomy, Telescope",,Special,,,,,,8/1/2015,12/18/2015,2d',,,
DL,7/8/2015,7/14/2015,done,7/28/2015,done,,hd6,8/6/2015,99358303002042,Bagit2,Milton_1674,353,23,2 Feature,,6/24/2015,,,,YES,7/15/2015,"Milton, John",1674,Paradise Lost [2nd edition],London,,,2nd,"CANON. 3959 px H. 4 p. l., 333 p. front. (port.) 17 cm.  2nd ed.",WS1,,,Nichols: 821 M64pal2,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
,,,,,,,,,992599902042,,,,,3 Yes,,6/16/2015,,,,YES,7/15/2015,"Monte, Guido Ubaldo",1577,Mechanicorum,Pisa,,,,"7 p.l., 130, [1] leaves : ill. ; 33 cm. ",,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,http://hos.ou.edu/galleries/16thCentury/Monte/1577/
DL,,,,,done,,rsync0?,7/1/2015,99243891402042,UL-Bagit [file archive],Monte_1600,325,78,3 Yes,,6/18/2015,,,,YES,7/15/2015,"Monte, Guido Ubaldo",1600,Perspectivae,Pisa,,Latin,"mechanics, mathematics, astronomy, perspective, projective geometry, Girolamo Concordia",About 320 pages.,,,,ocm26189485,History of Science Collections,New Physics,1/21/2016,4/3/2016,2b,,,
,,,,,,,,,99163408602042,,Munster_1574,,,2 Feature,ADD,5/20/2015,,,,YES,7/9/2015,"Munster, Sebastian",1574,Cosmographey [Geography of the World],Basel,,,,"HASSELBLAD. [2], [24], [86], Mccccxiiij [1414], [6] p. : ill., maps (woodcuts), coat of arms, geneal. tables ; 36 cm. (fol.) ",,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99272517302042,,,,,3 Yes,,6/1/2015,,,,YES,7/9/2015,"Munting, Abraham",1702,Phytographia curiosa,Amsterdam,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99103318202042,,,,,3 Yes,ADD,6/15/2015,,,,YES,7/15/2015,"Naibod, Valentin",1580,Astronomicarum institutionum,Venice,,,,,,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,,,,
DL,7/16/2015,7/20/2015,done,,7/29/2015,,hd6,8/7/2015,99263190402042,Bagit2,Napier_1614,164,11,2 Feature,,6/15/2015,,,,NO,7/15/2015,"Napier, John",1614,Mirifici logarithmorum canonis descriptio,Edinburgh,,,,CANON. 160 images. 20 x 16 cm. ,WS1,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
,,,,,,,,,99194787702042,,,,,3 Yes,,5/15/2015,,,,YES,,"Nasmyth, James; James Carpenter",1876,"Der Mond betrachtet als Planet, Welt und Trabant [The Moon, considered as a planet, a world and a satellite]",Leipzig,,,,HASSELBLAD. 230 images. 27 cm.,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2',B3,,
DL,,,8/5/2015,8/11/2015,8/14/2015,,hd9,8/22/2015,99304893502042,Bagit2,Newton_1687_Phil,529,127,2 Feature,,6/18/2015,,,,YES,7/15/2015,"Newton, Isaac",1687,Philosophiae naturalis principia mathematica [Principia],London,,Latin,,"CANON. 25 cm. 4 p. l., 383, 400-510 p., 1 l. fold. pl., diagrs. 25 cm. ",TempWS,,27,,History of Science Collections,New Physics,8/1/2015,8/31/2016,1,,,http://hos.ou.edu/galleries/17thCentury/Newton/1687/
QC,8/14/2015,,,,,,,,99234924202042,WS|HoS,Newton_1704,,,2 Feature,ADD,6/2/2015,,,,,,"Newton, Isaac",1704,Opticks,London,,,,HASSELBLAD. 370 images. 25 cm. ,,,,Reflecting telescope plate,National Weather Center,,8/1/2015,8/31/2016,2',B2,,
,,,,,,,,,99282906402042,,,,,3 Yes,ADD,6/30/2015,,,,,,"Newton, Isaac",1728,A Treatise of the System of the World,London,,,,"HOSC CAN'T FIND. CANON.  [2], [2], xxiv, 154, [2], [2] p., [2] leaves of plates: ill.; 22 cm.",,,,"HOSC CANT FIND. CANON.  [2], [2], xxiv, 154, [2], [2] p., [2] leaves of plates: ill.; 22 cm.",National Weather Center,,8/1/2015,8/31/2016,2',,B1,
DL,6/16/2015,7/7/2015,8/4/2015,8/11/2015,8/14/2015,,hdx3,,9948677502042,Bagit2,Newton_1728,426,102,2 Feature,,6/22/2015,,,,YES,7/15/2015,"Newton, Isaac",1728,The chronology of ancient kingdoms amended,London,,,,"CANON. 4015 px H. xiv, [2], 376 p. 3 plans. 24 cm. ",WS1,405,81,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',Final1,,http://hos.ou.edu/galleries/17thCentury/Newton/1728/
,,,,,,,,,99322756202042,,,,,3 Yes,,,,,,,,"Newton, Isaac",1729,Mathematical principles of natural philosophy [Principia],London,,English,,CANON. 1st English ed. 21 cm. 2 vol?,,,,[?],National Weather Center,,8/1/2015,8/31/2016,2',,First English translation,
DL,6/16/2015,7/8/2015,7/13/2015,8/3/2015,8/5/2015,,hdx3,,99219881502042,Bagit2,Newton_1733,363,87,2 Feature,,6/19/2015,,,,YES,7/15/2015,"Newton, Isaac",1733,Observations upon the prophecies of Daniel and the Apocalypse of St. John,London,,,,"HASSELBLAD. 7422 px H. vi, [2], 323 p. 27 cm. ",WS1,340,68,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',Final1,,http://hos.ou.edu/galleries/17thCentury/Newton/1733/
DL,5/5/2015,7/21/2015,8/5/2015,8/11/2015,8/17/2015,,hdx2,,99168737802042,Bagit2,Niceron_1663,216,52,3 Yes,,5/5/2015,,,,YES,,"Niceron, Jean François",1663,La perspective curieuse,Paris,,,,"HASSELBLAD. 200 images. 36 cm. Bound with L'optique et la catoptrique, Marin Mersenne (1651)",WS1,210,42,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,B2,,
DL,4/13/2015,7/8/2015,7/13/2015,7/13/2015,done,,hd6,8/7/2015,99200443402042,Bagit2,Nieremberg_1635,635,139,2 Feature,,5/6/2015,,,,YES,7/9/2015,"Nieremberg, Juan Eusebio",1635,"Historia natvrae, maxime peregrinae",Antwerp,,,,"HASSELBLAD. 7697 px H. [8], 502, [104] p. illus. 37 cm. ",WS1,,,69 woodcuts in text of New World plants and animals. Emphasis on Mexico and Peru. Names in Nahuatl or Quechua.,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,B1,,
,,,,,,,,,99150173402042,,Nieuhof_1668,,,2 Feature,ADD,6/8/2015,,,,YES,7/15/2015,"Nieuhof, Johann",1668,"Legatio Batavica ad magnum Tartariae Chamum Sungteium, modernum Sinae imperatorem",Amsterdam,,,,"4 p. l., 184, 172, [8] p. illus., double fold. pl., ports., fold. map. 32 cm. ",,,,"Hendrik Nieuhof Hendrik Nieuhof, 1682, Bass Collection (F 2511 .N67 )",History of Science Collections,Galileo and China,8/1/2015,8/31/2016,3,,,
HOS,,-,8/25/2015,,,,,,99153771002042,WS2|Ready for script,Nightingale_1862,,,2 Feature,,5/27/2015,,,,YES,,"Nightingale, Florence",1862,"Florence Nightingale, Army sanitary administration and its reform under the late Lord Herbert",London,,,,,,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,7/13/2015,7/13/2015,done,,hd4,7/29/2015,99202633402042,Bagit2,Nobutake_1706,292,8,1 Highlight,,,,,,YES,7/15/2015,"Nobutake, Baba",1706,Shogaku tenmon shinanshō,Ōsaka,,,,"Canon. 2749 px H. 5 parts, no pages given, cm?",,,,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,Not cataloged,
,,,,,,,,,Cataloging needs PDF,DigiLab Mac Pro|Aperture lib ?,,,,3 Yes,ADD,6/23/2015,,,,YES,7/15/2015,Nobutoyo,c. 1846,Koto no sho [Book of Leggings],,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
HOS,,-,,,,,,,Cataloging provided PDF,DigiLab Mac Pro|LargeHD,,,,2 Feature,,6/23/2015,,,,YES,7/15/2015,Nobutoyo,c. 1846,Yahon Hiden [Book of the Arrow],,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
DL,,,,7/14/2015,done,,hd4,7/29/2015,9995890202042,Bagit2,Offusius_1570,97,6,3 Yes,,5/22/2015,,,,YES,,"Offusius, Johann Franciscus",1570,De divina astrorum facultate,Paris,,Latin,,"CANON? [8], 31, [1] leaves : ill. ; 23 cm.",,46,9.2,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,http://hos.ou.edu/galleries//16thCentury/Offusius/1570/
DL,8/5/2015,8/13/2015,8/19/2015,8/20/2015,8/22/2015,,hdx2,,9963782602042,Bagit2,Steno_1667,,,2 Feature,,,,,,NO,,"Steno, Nicolaus",1667,Canis carchari dissectum caput [appendix in Elementorum myologi specimen],Florence,,,,CANON. 150 images. 24 cm.,WS1,,,,,,,,2c,,,
DL,6/30/2015,7/21/2015,7/27/2015,8/12/2015,done,,hd8,8/14/2015,99252816502042,Bagit2,Orleans_1671,642,154,3 Yes,,5/18/2015,,,,YES,,"Orléans, Chérubin d'",1671,La dioptriqve ocvlaire,Paris,,,,,WS1,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2',,,
,,,,,,,,,99266414502042,,,,,3 Yes,,6/12/2015,,,,NO,,"Orsini, Latino; Ignazio Danti",1583,Trattato del radio latino,Rome,,,,,,,,,,,,,2',,,
DL,,,,,done,,rsync0?,7/8/2015,9965634802042,UL-Bagit [file archive],Pacioli_1509,317,76,2 Feature,,5/15/2015,,,,YES,,"Pacioli, Luca",1509,Divina proportione,Venice,,Latin,,,,,75.7,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,1,,,
,,,,,,,,,99171502402042,,,,,3 Yes,ADD,,,,,,,"Pannochieschi, Arturo",1612,Considerazioni sopra il Discorso del Sig. Galileo,Pisa,,,,,,,,,,,,,,,,
DL,,done,,,,,,,99198942002042,WS|HoS|Ready to export,Paracelsus_1536,61,15,3 Yes,,6/1/2015,,,,,,Paracelsus,1536,Prognosticatio,Augsburg,,,,"CANON. [46], [4] p. : ill. ; 21 cm. ",WS1,60,12,,National Weather Center,,,8/31/2016,2',,,http://hos.ou.edu/galleries/16thCentury/Paracelsus/1536/
DL,,done,,,,,,,99354905102042,WS|HoS|Ready to export,Paracelsus_1566,226,54,3 Yes,,6/1/2015,,,,,,Paracelsus,1566,Das Büch meteororum,Cologne,,,,"CANON. [2], 106, [1] leaves ; 21 cm. ",WS1,120,24,Illustrated page,National Weather Center,,,8/31/2016,2',,,
In progress,8/6/2015,,,,,,,,9923482002042,WS|HoS,Paracelsus_1603,,,2 Feature,,5/29/2015,,,,YES,10/15/2015,Paracelsus,1603,Opera Bücher,Strassburg,,,,"HASSELBLAD. 1,920 images. 34 cm. ",,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
In progress,7/30/2015,,,,,,,,99218308102042,WS2|HoS,Parkinson_1640,,,3 Yes,,5/28/2015,,,,YES,10/15/2015,"Parkinson, John",1640,Theatrum botanicum [The theater of plants],London,,,,"HASSELBLAD. 1,780 images. 34 cm.",WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,8/19/2015,8/20/2015,8/22/2015,,hdx2,,9974334202042,Bagit2,Partridge_1692,207,50,2 Feature,,6/15/2015,,,,YES,7/15/2015,"Partridge, Seth",1692,"Description and Use of an Instrument, Called the Double Scale of Proportion",London,,English,,,Special,,48.4,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,1,,,
DL,,done,done,8/25/2015,8/26/2015,,,,99258293102042,Bagit2,Pascal_1663,300,72,2 Feature,,6/2/2015,,,,,,"Pascal, Blaise",1663,Traitez de l'equilibre des liqueurs,Paris,,,,"CANON. 14 p. l., 232, [7] p. 2 fold. pl. 15 x 10 cm. ",WS1,270,54,,National Weather Center,,,8/31/2016,2',,,http://hos.ou.edu/galleries/17thCentury/Pascal/1663/
DL,,,,7/14/2015,done,,hd4,7/29/2015,9985465702042,Bagit2,Peckham_1556,112,8,3 Yes,,5/15/2015,,,,YES,,"Peckham, John",1556,Perspectiva,Paris,,,,,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2b,,,
DL,,,,,done,,hd2,7/16/2015,99147131702042,Bagit1,Stelluti_1630,277,66,2 Feature,,4/27/2015,,,,YES,7/9/2015,Persius; Francesco Stelluti,1630,Tradotto in verso sciolto e dichiarato da Francesco Stellvti [Stelluti's Persio],Rome,,Italian,Francesco Stelluti,"CANON. Kerry Magruder [Administrator]: Do you mean Persius, Tradotto in verso sciolto e dichiarato da Francesco Stellvti (Rome, 1630)? DigiLab has digitized this. -BKL. Francesco Stelluti edited this collection of an obscure Roman poet",WS1,,,ABX3762,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99360716802042,,Philoponus_1504,,,2 Feature,ADD,6/19/2015,,,,YES,7/15/2015,Philoponus,1504,In posteriora resolutoria Aristotelis Comentaria,Venice,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,,,
DL,,,,7/14/2015,done,,hd4,7/29/2015,9941767402042,Bagit2,Piccolomini_1540,387,18,3 Yes,,5/14/2015,,,,YES,,"Piccolomini, Alessandro",1540,De le stelle fisse [in De la sfera del mondo],Venice,,,,"CANON. 12 p. l., 5-176 (i. e. 178) numb. l., [3] p. incl. XLVII maps, XLVIII tab., diagrs. 21.5 x 16 cm. ",,,,De le stelle fisse has a special t.-p.,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,http://www.lindahall.org/events_exhib/exhibit/exhibits/stars/pic.htm
,,,,,,,,,99268755502042,,Plato_1491,,,2 Feature,,6/18/2015,,,,YES,7/15/2015,Plato; Marsilio Ficino,1491,Diuus Plato,Venice,,,,"[1], [4], 444, [1] leaves ; 31 cm. Ed. Marsilio Ficino",,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,http://hos.ou.edu/galleries/01Ancient/Plato/1491/
,,,,,,,,,99284110602042,,,,,3 Yes,ADD,5/19/2015,,,,YES,7/9/2015,Pliny the Elder,1601,The historie of the world commonly called the naturall historie [Natural History],London,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,8/4/2015,8/5/2015,8/6/2015,8/11/2015,8/14/2015,,hd9,8/23/2015,99209482802042,Bagit2,Porta_1563,,,2 Feature,,-,,,,NO,,"Porta, Giambattista della",1563,"De furtiuis literarum notis vulgo, De ziferis libri IIII",Naples,,,,CANON. 250 images. 20 cm.,,,,,,,,,2c,,,
,,,,,,,,,9944333602042,,,,,3 Yes,ADD,5/19/2015,,,,YES,7/9/2015,"Porta, Giambattista della",1588,Phytognomonica,Naples,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,,,-,,Islandora issues?,,9994620702042,UL-Bagit [file archive],Porta_1589,,,3 Yes,ADD,,,,,,,"Porta, Giambattista della",1589,Magiae naturalis,Naples,,Latin,"natural philosophy, mathematics",Latin first edition. About 310 pages.,,,,,,,,,2c,,,
,,,,,,,,,9968405502042,,,,,3 Yes,,6/12/2015,,,,NO,,"Porta, Giambattista della",1606,I tre libri de spiritali,Naples,,,,"CANON. 98, [1] p. illus., diagrs. 20 cm. ",,,,,,,,,2'',,,
,,,,,,,,,99120202402042,,,,,3 Yes,ADD,5/18/2015,,,,YES,7/9/2015,"Porta, Giambattista della",1610,De aeris transmutationibus,Rome,,Latin,"natural philosophy, mathematics, meteorology, physical geography, hydrology, earthquakes",About 225 pages.,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
